Song,Title,Singer,About,일치여부
F*ck My Life,SEVENTEEN - F*ck My Life (English Translation)!,Genius English Translations,"If you failed to this toxic world, let’s healing yourself by F*ck My Life, the title track from FML, the tenth mini album from SEVENTEEN.
A song based on old-school hip-hop rhythm. The sound realized by putting a conflicting codework on top of the drum sound reinterpreted with an analog sensibility is impressive. The lyrics were talking about a tired life. Be the only stupid one in this world; live with no passion, way to go, or aim. But intend to rise again and fight for this one life.
The music video conveys the song’s vibe by showing all the members facing immense conflicts in their life that look like there’s no way to solve them. But after seeing the light again, they decided to find their true selves again in other parts of this big world. Which inspired by 1998’s movie, “The Truman Show.”
Left: F*ck My Life M/V | Right: The Truman Show",불일치
불평불만,불평불만 (Mr. complain)!,Leellamarz (릴러말즈),-,불일치
일어나 보니,일어나 보니 (Hangover)!,Leellamarz (릴러말즈),-,불일치
Good Night (Feat. BE'O),goodnight n go!,Ariana Grande,"In the lead-up to Sweetener, Ariana teased “goodnight n go” through a snippet on her Instagram story and later posted the title on Twitter.
The song draws heavy inspiration from Imogen Heap’s “Goodnight and Go.”, appropriating it for Sweetener by modifying the production and some lyrics. Ariana has stated on Instagram that Imogen was one of her primary inspirations as an artist, and made her who she is today.",불일치
Parade (행진),Bulls on Parade!,Rage Against the Machine,"“Bulls on Parade” was the second single released from Rage Against the Machine’s second album, Evil Empire.
The song discusses the subliminally oppressive leaders of the world in their never ceasing quest to conquer and kill for their own gain. The title reflects this; a bull is an aggressive animal only stopped by force, as are the world’s leading governments. These bulls are going on a parade to gain, by any means necessary.
The back of the 7-inch single states, “All sounds made by guitar, bass, drums and vocals.”",불일치
Yacht,Ice Tray!,"Quality Control, Quavo & Lil Yachty","This song was teased with a short snippet on Quality Control Music’s Instagram.
The snippet gained popularity with a line directed towards rapper Joe Budden.
If a nigga hating, call him Joe Budden (pussy!)
Still continuing their beef with him, due to the infamous quarrel at the 2017 BET Awards.",불일치
Je Ne Sais Quoi,Un “je ne sais quoi”!,Deen Burbigo,"C'est le seul morceau qui est antérieur au début de l'élaboration du projet. C'était l'été dernier, on a commencé à aller chez Flev pour faire l'album L'Entourage. Un jour, on y est allés à trois avec Alpha et Nekfeu, on a pondu deux morceaux dans la nuit. On a fait nuit blanche, on a écrit et enregistré deux morceaux dont Ma iv. Il manquait juste un espace pour le refrain et Jazzy Bazz, du coup, a comblé le morceau et on l'a gardé pour l'EP.
Deen Burbigo dans Interview FNAC
https://www.youtube.com/watch?v=6Flih2REGcg#t=3m17s
Scratchs par DJ R-ASH.
Cuivres par Tristan Camus.
Enregistré par DJ Elite au BlackBird Studio.
Mixé par Anh Ninh au studio AK.
Masterisé par Florent Sabaton au Coloursound Studio.",불일치
낮 밤 (feat. 박재범),낮 밤 (Day & Night)!,Lee Young Ji (이영지),-,불일치
위하여 (We Higher) (Prod. GroovyRoom),위하여 (We Higher)!,"GroovyRoom, lIlBOI, Blase, Roh Yunha, Polodared, Chillin Homie & Fleeky Bang",-,불일치
HARD,Drip Too Hard!,Lil Baby & Gunna,"“Drip Too Hard” is the lead single from Lil Baby and Gunna’s debut collaborative album, Drip Harder. Both the song and album title are homages to Baby and Gunna’s respective “Hard” and “Drip” series of mixtapes and albums.
The song features production from Turbo, who frequently collaborates with both artists and who also serves as executive producer of Drip Harder. Other notable collaborations by the trio are Gunna’s “Oh Okay” and “Sold Out Dates.”",불일치
사임쌓임,사임쌓임 (Racks On Racks)!,"Chin, SUPERBEE, CK & UNEDUCATED KID",-,불일치
Kill This Love,BLACKPINK - Kill This Love (Romanized)!,Genius Romanizations,"“Kill This Love” is the title track for BLACKPINK’s second EP of the same name.
This is the highly anticipated release following their last Korean mini album SQUARE UP in 2018. It features intense lead brass electro-pop and marching band snares. The song is propelled by BLACKPINK’s charismatic rap and vocals.
In the first full group teaser, the looks caught attention for the resemblance with Tomb Raider even noticed by the official twitter of Tomb Raider, who replied to an article about it.
YG Entertainment, BLACKPINK’s label, spoiled that the new dance choreography was made by four world-class choreographers and was expected to be more dynamic than the choreography of any song that the group has introduced.",불일치
"야망 (Feat. ASH ISLAND, 김효은, Hash Swan, CHANGMO) (Prod. TOIL)",야망 (AMBITION)!,Leellamarz (릴러말즈),"This song is the title of Leellamarz’s first album (“MARZ 2 AMBITION”) after joining Ambition Musik. 야망, which translates into ambition, is a nickname of the label, and this song also features all members (excluding producer Way Ched) of the label at the time.
Leellamarz also mentioned that this song is made during one of his hardest times.",불일치
아는사람 얘기,아는 사람 얘기 (Story of someone I know)!,CHOILB (최엘비),-,불일치
Aqua Man,AQUAMAN!,Jay Park (박재범),-,불일치
PADO,Alkoholisierte Pädophile!,Shindy,"In diesem Track stellt Shindy Kay One und seinen Stiefvater Olliwood bloß. Er bezeichnet sie oft als Pädophile und legt viele negative Eigenschaften/Taten von Kay offen.
https://www.youtube.com/watch?v=inEIBam7v4s",불일치
Baby,Love Me!,Lil Wayne,"On “Love Me,” Weezy, Drake, and Future talk about their women and how they care about nothing but them—as long as they love them back. It was released as the second single from Wayne’s tenth studio album, I Am Not a Human Being II.
The song was a success, peaking at #9 on the Billboard Hot 100—notably becoming Future’s first and only top ten single until he released “Mask Off” in February 2017, which peaked at #5.
The official music video premiered on February 14, 2013, on MTV Jams. In an interview with MTV News a day prior, Wayne talked about the concept of the music video:
The concept of the video is really just to create awesome scenery. A scenery that every man… anyone wanna be in […] I appreciate Drake and Future for doin’ this because I’m quite sure they’re hella busy like I am, but I ain’t never too busy to get in a bed with three women, with water everywhere.",불일치
들꽃놀이 (with 조유진),RM - 들꽃놀이 (Wild Flower) ft. youjeen (English Translation)!,Genius English Translations,"On “들꽃놀이 (Wild Flower)” RM takes a trip to the past, his 20s, and discusses the internal struggle between fame and success while staying true to who you are.
The song works as the lead single off RM’s first full-length album, Indigo. RM started working on the song in 2019, inviting Cherry Filter’s vocalist, youjeen—his idol and South Korean rock icon—to it.
In the music video, RM is seen surrounded by beautiful nature scenery and has two sides, one in a field of wildflowers and butterflies, and one that’s in flame with nothing left but smoke clouds and destroyed trees. Near the end, RM is then rapping in his sparkly blue mic to a huge audience.",불일치
오르골 (Life Is Still Going On),NCT DREAM - 오르골 (Life Is Still Going On) (English Translation)!,Genius English Translations,-,불일치
러브(Prod.로코베리),러브스토리 (Love Story)!,SURAN (수란),-,불일치
SOS,Love Sosa!,Chief Keef,"Keef often refers to himself by the name Sosa in reference to Scarface character Alejandro Sosa, who was an international drug dealer and Tony Montana’s boss of sorts.",불일치
여행 Again (Feat. Cautious Clay),여행 Again (Travel Again)!,Beenzino (빈지노),-,불일치
Black Rose,Believe!,Cher,"Cher’s “Believe” is about getting over heartbreak. It pioneered the use of Auto-Tune as a recognizable vocal effect; at the time it was known as the “Cher effect”.
According to The New York Times the song took nine years to make. In 1990, songwriter Brian Higgins wrote the initial hook but was unhappy with the verses, so other writers began tinkering with the lyrics and production. Higgins tried pitching the song to various artists he wrote for over the years, but they all passed on it.
Meanwhile, the president of Warner Music UK, Rob Dickins, wanted Cher to “focus on her gay audience with a high-energy dance record.” Dickins told The New York Times that when he heard “Believe” he thought to himself, “Cher could do this chorus, especially the lyrics, with her private life the way it is. She’s gone through all these things.”
After recording the song, the producers worried Cher’s vocals sounded too robotic due to the Auto-Tune. Cher told the Times: “‘Everyone loves that song but wants to change that part of it. I said, 'You can change that part of it, over my dead body!’”
In an interview with Sound on Sound, the song’s producers actually lied about using Auto-Tune and claimed Cher’s vocal effects were created using a vocoder pedal. They were trying to keep Auto-Tune a secret, but it eventually became an industry standard.
The song became a huge international smash, landing at #1 in the US and many other countries including in Italy, Germany, and Spain. It sold over 11 million copies making it one of the best-selling singles of all time.",불일치
